;Coluna1;Coluna2;Coluna3
0;;;
1;NEW Thickness/MeasuredAt;"3.8180-3.8250"" (96.997-97.155 MM) REPORTED BY MEMBERS";
2;Minimum Thickness;"3.8130"" (96.850 MM) OEM GM MIN";
3;Warp Spec.;".0030"" (.075 MM) OVERALL LENGTH";
4;Chamber Volume (cc);;
5;Surface Finish;;
6;OHC Camshaft Bore Diameter;;
7;Injector Tip Protrusion;;
8;Lifter Bore Diameter;;
9;Comments;* USE NEW M12 BOLTS ** REPORTED ROCKER ARM RATIO: INTAKE - 1.36:1 EXHAUST - 1.69:1;
10;;;
11;Installed Stem Height;"2.041-2.048"" (51.841-52.019 MM) **";"2.041-2.048"" (51.841-52.019 MM) **"
12;Stem Diameter;".2737-.2744"" (6.952-6.970 MM)";".2734-.2741"" (6.942-6.962 MM)"
13;Total Length;;
14;Head Diameter;"1.300"" (33.000 MM)";"1.220"" (31.000 MM)"
15;Angle;45°;45°
16;Margin;".047"" (1.200 MM)";".039"" (1.000 MM)"
17;Recession;".025-.098"" V/REC (.634-2.500 MM)";".033-.078"" V/REC (.838-2.000 MM)"
18;Valve Guide Information;Intake;Exhaust
19;Guide Height;;
20;Guide Clearance;".0012-.0025"" (.030-.063 MM)";".0015-.0028"" (.038-.071 MM)"
21;Guide OD;;
22;Valve seal Type;;
23;Valve Seat Information;Intake;Exhaust
24;Seat Width;".083-.098"" (2.100-2.500 MM)";".083-.098"" (2.100-2.500 MM)"
25;Seat Angle;30° / 45° / 60°;30° / 45° / 60°
26;Seat Outside Diameter;;
27;Seat Inside Diameter;;
28;Seat Insert Height;;
29;Seat Insert Bore Diameter;;
30;Seat Insert Bore Depth;;
31;;;
32;Free Length;"2.2283"" (56.600 MM)";"2.2283"" (56.600 MM)"
33;Installed Height;"1.6142"" (41.000 MM)";"1.6142"" (41.000 MM)"
34;Open Test Pressure;;
35;Close Test Pressure;"71-82# @ 1.6142""";"71-82# @ 1.6142"""
36;Inner Spring;Intake;Exhaust
37;Free Length;;
38;Installed Height;;
39;Open Test Pressure;;
40;Close Test Pressure;;
41;;;
42;Shaft Diameter;".8653-.8661"" (21.979-22.000 MM)";
43;Bore Diameter;".8665-.8675"" (22.010-22.035 MM)";
44;Oil Clearance;".0004-.0022"" (.010-.056 MM)";
45;Rock Arm Ratio;;
46;;;
47;Intake Valve Lash;".012"" COLD (.300 MM)";
48;Exhaust Valve Lash;".012"" COLD (.300 MM)";
49;Lash Adjustment Method;ROCKER ARM RATIO: INTAKE - 1.36:1 EXHAUST - 1.69:1;
50;Precup Torque Spec.;;
51;Cylinder Head Torque;* M12 BOLTS 37/ 59 FT/LBS, + 60°+60°, M8 BOLTS 18 ft/lbs;
52;Camshaft Cap Torque;;
53;;;
54;Cylinder Bore Diameter;"4.0551-4.0557"" (103.000-103.014 MM) MUST SEE TB-2523";
55;Torque Plate;NO;
56;Cylinder Bore Finish;;
57;Deck Height;;
58;Measured At;;
59;Surface Finish;;
60;Main to Cam Bore Distance;;
61;Main to Pan Rail Distance;;
62;Bore Center to Center;;
63;Lifter Bore Diameter;;
64;Cylinder Bore Diameter;;
65;Comments;SECOND PISTON RING WITH 2N MUST FACE UP. BLOCK HAS HEAT TREATED CYLINDER AT THE TOP OF RING TRAVEL. REPORTS OF PROBLEMS BORING AND HAD TO HONE OVERSIZE AND TOOK A VERY LONG TIME.;
66;;;
67;Compression Height;;
68;Piston Protrusion;".009-.015"" SEE TB 2095";
69;Skirt Oil Clearance;".0030-.0035"" (.076-.089 mm), MUST SEE TB-2523";
70;Piston to Rod Assembly Orientation;;
71;c;"1.3581-1.3583"" (34.495-34.500 MM)";
72;Piston Pin Type;LOCK;
73;Piston Pin Bore Diameter;"1.3584-1.3587"" (34.504-34.512 MM), .0002-.0007"" CLR";
74;Piston Ring Gap;"TOP .0118-.0177"", 2ND .0197-.0256"", OIL .0059-.0138""";
75;;;
76;Main Bore Diameter;"3.3464-3.3472"" (85.000-85.019 MM)";
77;Seal Bore Diameter;;
78;Main Cap Torque;72, 97 FT/LBS +30°, --- SIDE BOLTS 58 FT/LBS;
79;Additional Main Cap Bolts;;
80;Camshaft Bore Diameter;CAMSHAFT BEARING INSIDE DIAMETERS;
81;;"PRODUCTION 2.4016-2.4028"" (61.000-61.030 MM)";
82;;"REPAIR SIZE 2.4043"" (61.070 MM)";
83;;;
84;Auxiliary Shaft Bore Diameter;;
85;;;
86;Balance Shaft Bore Diameter;;
87;;;
88;;;
89;Sleeve Protrusion;;
90;Sleeve Flange Outside Diameter;;
91;Sleeve Fit;;
92;Sleeve Flange Height;;
93;Sleeve Upper Fit Diameter;;
94;Sleeve Bottom Fit Diameter;;
95;Cylinder Block Lower Bore;Specifications;
96;Depth;;
97;Inside Diameter;;
98;Fit;;
99;Cylinder Block Counter/Upper Bore;Specifications;
100;Depth;;
101;Lower Bore Depth Diameter;;
102;Spacer/Deck Plate Thickness;;
103;Outside Diameter;;
104;;;
105;Stroke;"3.8976"" (99.000 MM)";
106;Cylinder Bore;"4.0551-4.0557"" (103.000-103.014 MM)";
107;Comments;;
108;;;
109;Rod Journal Diameter;"2.4764-2.4772"" (62.902-62.922 MM)";
110;Journal Width;;
111;Fillet Radius;;
112;Oil Clearance;".0014-.0030"" (.036-.077 MM)";
113;;;
114;Pos.  1;"3.1459-3.1466"" (79.905-79.925 MM)";
115;Pos.  2;;
116;Pos.  3;;
117;Pos.  4;;
118;Pos.  5;;
119;Pos.  6;;
120;Oil Clearance;".0015-.0025"" (.037-.072 MM)";
121;End Play;".0016-.0081"" (.040-.205 MM)";
122;Fillet Radius;;
123;Thrust Width;;
124;Rear Seal Diameter;;
125;Front Seal Diameter;;
126;Pulley Diameter;;
127;Gear Diameter;;
128;Hardness;;
129;Journal Finish;;
130;Balance;E;
131;;;
132;Big End Housing Bore;"2.6372-2.6378"" (66.985-67.000 MM)";
133;Beam Length;;
134;Big End Width;;
135;Big End Side Clearance;".012-.019"" (.310-.490 MM)";
136;Connecting Rod Torque;47 FT/LBS, +30°, +30°;
137;Bolt Diameter;;
138;Small End Bore For Bushing;;
139;Small End Bore Finished ID;"1.3587-1.3591"" (34.512-34.522 MM)";
140;Small End Oil Clearance;".0005-.0011"" (.012-.027 MM)";
141;Center To Center Distance;"6.4173-6.4200"" (162.999-163.068 MM)";
142;Twist/Bend;".001/.002"" @ 1.00""";
143;Comments;"2.4789-2.4795"" (62.958-62.979 MM) Bearing inside Diameter";
144;;;
