;Coluna1;Coluna2;Coluna3
0;;;
1;NEW Thickness/MeasuredAt;"5.0900"" (129.286 MM) A BRAND NEW TOYOTA HEAD";
2;Minimum Thickness;NOT SUPPLIED BY OEM;
3;Warp Spec.;".003"" OVERALL (.076 MM)";
4;Chamber Volume (cc);;
5;Surface Finish;;
6;OHC Camshaft Bore Diameter;"1.5748-1.5758"" (39.999-40.025 MM)";
7;Injector Tip Protrusion;;
8;Lifter Bore Diameter;;
9;Comments;"** LASH CHANGED FOR 2007-2009 INT .0075-.0114"" EXH .015-.019"" * HEAD BOLT LENGTH 6.3500-6.4060"" MAX 6.4650"" (161.3-162.7 MM) (MIN 154.2 MM). CAUTION USE HEAD BOLT REMOVAL SEQUENCE. CYLINDER HEAD CRACKING IS POSSIBLE BY NOT USING THE REMOVAL SEQUENCE.";
10;;;
11;Installed Stem Height;"1.330-1.360""";"1.330-1.360"""
12;Stem Diameter;".2154-.2159"" (5.470-5.485 MM)";".2152-.2157"" (5.465-5.480 MM)"
13;Total Length;"3.9846-4.0043"" (101.210-101.710 MM)";"3.9646-3.9823"" (100.700-101.150 MM)"
14;Head Diameter;;
15;Angle;44.5-45°;44.5-45°
16;Margin;".020"" MIN (.500 MM)";".020"" MIN (.500 MM)"
17;Recession;;
18;Valve Guide Information;Intake;Exhaust
19;Guide Height;".3779-.3937"" (9.600-10.000 MM)";".3779-.3937"" (9.600-10.000 MM)"
20;Guide Clearance;.0010-.0024 (.025-.060 MM);".0012-.0026"" (.030-.065 MM)"
21;Guide OD;;
22;Valve seal Type;POS GRAY;POS BLACK
23;Valve Seat Information;Intake;Exhaust
24;Seat Width;".0390-.0550"" ((.990-1.397 MM)";".0390-.0550"" ((.990-1.397 MM)"
25;Seat Angle;30° / 45° / 75°;30° / 45° / 75°
26;Seat Outside Diameter;;
27;Seat Inside Diameter;;
28;Seat Insert Height;;
29;Seat Insert Bore Diameter;;
30;Seat Insert Bore Depth;;
31;;;
32;Free Length;"1.7990"" (45.694 MM)";"1.7990"" (45.694 MM)"
33;Installed Height;"1.3390"" (35.534 MM)";"1.3390"" (35.534 MM)"
34;Open Test Pressure;"77-86 # @ 0.9690""";"77-86 # @ 0.9690"""
35;Close Test Pressure;"41-46 # @ 1.3390""";"41-46 # @ 1.3390"""
36;Inner Spring;Intake;Exhaust
37;Free Length;;
38;Installed Height;;
39;Open Test Pressure;;
40;Close Test Pressure;;
41;;;
42;Shaft Diameter;;
43;Bore Diameter;;
44;Oil Clearance;;
45;Rock Arm Ratio;;
46;;;
47;Intake Valve Lash;".008-.011"" COLD (.203-.279 MM) *";
48;Exhaust Valve Lash;".012-.016"" COLD (.305-.406 MM) *";
49;Lash Adjustment Method;different thickness pucks;
50;Precup Torque Spec.;CAM BeaRinG CAPs #1+2=22#, OTHERS = 80 INCH/LB;
51;Cylinder Head Torque;58 FT/LBS, + 90° * SEE CYLINDER HEAD COMMENTS *;
52;Camshaft Cap Torque;;
53;;;
54;Cylinder Bore Diameter;"3.4843-3.4851"" (88.501-88.521 MM)";
55;Torque Plate;;
56;Cylinder Bore Finish;;
57;Deck Height;;
58;Measured At;;
59;Surface Finish;;
60;Main to Cam Bore Distance;;
61;Main to Pan Rail Distance;;
62;Bore Center to Center;;
63;Lifter Bore Diameter;;
64;Cylinder Bore Diameter;;
65;Comments;"* MEASURE BOLT SHANK OR BODY DIAMETERS .2950-.2990"" MIN .2830"" (7.5-7.6 MM) (MIN 7.2 MM) IF LESS THAN MINMIUM REPLACE BOLTS.";
66;;;
67;Compression Height;;
68;Piston Protrusion;;
69;Skirt Oil Clearance;".0021-.0029"" OEM PISTON SEE DIAGRAMS";
70;Piston to Rod Assembly Orientation;;
71;c;".8660-.8665"" (21.997-22.009 MM)";
72;Piston Pin Type;FLOAT;
73;Piston Pin Bore Diameter;".00004-.00039"" (.001-.009 MM) CLR";
74;Piston Ring Gap;"TOP .009-.013"", 2ND .020-.024"", OIL .004-.014""";
75;;;
76;Main Bore Diameter;"2.3236-2.3243"" (59.019-59.037 MM)";
77;Seal Bore Diameter;;
78;Main Cap Torque;30 FT/LBS, + 90°, * SEE CYLINDER BLOCK COMMENTS *;
79;Additional Main Cap Bolts;;
80;Camshaft Bore Diameter;"1.5748-1.5758"" (39.999-40.025 MM)";
81;;;
82;;;
83;;;
84;Auxiliary Shaft Bore Diameter;;
85;;;
86;Balance Shaft Bore Diameter;;
87;;;
88;;;
89;Sleeve Protrusion;;
90;Sleeve Flange Outside Diameter;;
91;Sleeve Fit;;
92;Sleeve Flange Height;;
93;Sleeve Upper Fit Diameter;;
94;Sleeve Bottom Fit Diameter;;
95;Cylinder Block Lower Bore;Specifications;
96;Depth;;
97;Inside Diameter;;
98;Fit;;
99;Cylinder Block Counter/Upper Bore;Specifications;
100;Depth;;
101;Lower Bore Depth Diameter;;
102;Spacer/Deck Plate Thickness;;
103;Outside Diameter;;
104;;;
105;Stroke;"3.8000"" (96.520 MM)";
106;Cylinder Bore;"3.4843-3.4851"" (88.501-88.521 MM)";
107;Comments;;
108;;;
109;Rod Journal Diameter;"1.8893-1.8897"" (47.988-47.998 MM)";
110;Journal Width;;
111;Fillet Radius;;
112;Oil Clearance;".0009-.0019"" (.022-.048 MM)";
113;;;
114;Pos.  1;"2.1648-2.1653"" (54.985-54.998 MM)";
115;Pos.  2;;
116;Pos.  3;;
117;Pos.  4;;
118;Pos.  5;;
119;Pos.  6;;
120;Oil Clearance;".0003-.0009"" (.007-.022 MM)";
121;End Play;".0063-.0094"" (.160-.238 MM)";
122;Fillet Radius;;
123;Thrust Width;;
124;Rear Seal Diameter;;
125;Front Seal Diameter;;
126;Pulley Diameter;;
127;Gear Diameter;;
128;Hardness;;
129;Journal Finish;;
130;Balance;I;
131;;;
132;Big End Housing Bore;"2.0079-2.0087"" (51.001-51.021 MM)";
133;Beam Length;;
134;Big End Width;".7790-.7810"" (19.786-19.937 MM)";
135;Big End Side Clearance;".0063-.0143"" (.160-0.362 mm)";
136;Connecting Rod Torque;18 FT/LBS, + 90°, * SEE CONNECTING ROD COMMENTS *;
137;Bolt Diameter;;
138;Small End Bore For Bushing;;
139;Small End Bore Finished ID;".8663-.8667"" (22.005-22.014 mm)";
140;Small End Oil Clearance;".00004-0.00028"" (.001-.007 mm)";
141;Center To Center Distance;;
142;Twist/Bend;".006"" per 4"", .002"" per 4.0""";
143;Comments;"* MEASURE BOLT SHANK OR BODY DIAMETER .2830 - .2870"" MIN .2760"" (7.2 - 7.3 MM) (MIN 7.0 MM) IF LESS THAN MINMIUM REPLACE BOLTS.";
144;;;
145;Camshaft Journal Diameters;"1 1.4165-1.4167"" (35.971-35.985 MM)";
146;;"OTHRS .9039-.9045"" (22.959-22.975 MM)";
147;Total Length;;
148;Journal Oil Clearance;".0015-.0031"" (.040-.079 MM)";
149;Cam End Play;"INT .002-.004"", EXH .003-.005""";
150;Lifter Type;;
151;Lifter Diameter;"1.2191-1.2195"" (30.966-30.976 MM)";
152;Camshaft Gear Bolt Torque;SPROCKET 40 FT/LBS, BRG CAP #1+2=22#, OTHRS 80 INCH/LB;
153;Comments;;
154;;;
155;Auxiliary Journal Oil Clearance;".0002-.0012"" (.004-.031 MM)";
156;Auxiliary Journal Diameters;"BALANCE SHAFT DIAM: .9049-.9055"" (22.985-23.000 MM)";
157;Timing Gear Lash;;
158;;;
159;Lobe lift;"1.830-1.834"" HGT (46.495-46.595 MM)";"1.830-1.834"" HGT (46.495-46.595 MM)"
160;"Duration at 0.050""";;
161;Center Line;;
162;"Valve Event Timing Marks at .050  """;;
163;;;
164;Lobe Separation;;
165;Base Circle New;;
166;Base Circle Min;;
167;;;
168;Intake Manifold;22 FT/LBS;
169;Exhaust Manifold;27 FT/LBS;
170;Flywheel;A/T= 72 FT/LBS, M/T= 96 FT/LBS;
171;Flywheel Bolt Sealer;;
172;Flywheel Surfacing;".020"" step";
173;Damper;PULLEY 125 FT/LBS;
174;Damper Bolt Sealer;;
175;Main Bearing Cap;30 FT/LBS, + 90°, * SEE CYLINDER BLOCK COMMENTS *;
176;Additional Main Cap Bolts;;
177;Connecting Rod;18 FT/LBS, + 90°, * SEE CONNECTING ROD COMMENTS *;
178;Cylinder Head;58 FT/LBS, + 90° * SEE CYLINDER HEAD COMMENTS *;
179;Camshaft Cap Torque;;
180;Camshaft Gear Bolt;SPROCKET 40 FT/LBS, BRG CAP #1+2=22#, OTHRS 80 INCH/LB;
181;Comments;"* LASH CHANGED FOR 2007-2009 INT .0075-.0114"" EXH .015-.019""";
182;;;
183;DRIVE SHAFT BRG BRACKET-BLOCK;47 FT/LBS, V-RIBBED BELT TENSIONER-TIMING CHN COVR 44#;
