;Coluna1;Coluna2;Coluna3
0;;;
1;NEW Thickness/MeasuredAt;"4.047-4.063"" (102.794-103.2 MM)";
2;Minimum Thickness;"4.0370"" (102.54 MM)";
3;Warp Spec.;".002 IN 6""";
4;Chamber Volume (cc);;
5;Surface Finish;;
6;OHC Camshaft Bore Diameter;;
7;Injector Tip Protrusion;Does not Apply;
8;Lifter Bore Diameter;;
9;Comments;;
10;;;
11;Installed Stem Height;;
12;Stem Diameter;".3136-.3153"" (7.965-8.009 MM)";".3136-.3153"" (7.965-8.009 MM)"
13;Total Length;;
14;Head Diameter;"1.845-1.855"" (46.863-47.117 MM)";"1.570-1.580"" (39.878-40.132 MM)"
15;Angle;29.5-30°;44.75-45.25°
16;Margin;".071"" MIN (1.803 MM)";".059"" MIN (1.499 MM)"
17;Recession;".044-.081"" V/REC (1.118-2.057 MM)";".059-.087"" V/REC (1.499-2.21 MM)"
18;Valve Guide Information;Intake;Exhaust
19;Guide Height;".886-.926"" (22.504-23.52 MM)";".886-.926"" (22.504-23.52 MM)"
20;Guide Clearance;".0016-.0031"" (.041-.079 MM)";".0016-.0031"" (.041-.079 MM)"
21;Guide OD;;
22;Valve seal Type;;
23;Valve Seat Information;Intake;Exhaust
24;Seat Width;;
25;Seat Angle;29-30°;44-46°
26;Seat Outside Diameter;"1.9680-1.9690"" (49.987-50.013 MM)";"1.6924-1.6934"" (42.987-43.012 MM)"
27;Seat Inside Diameter;;
28;Seat Insert Height;;
29;Seat Insert Bore Diameter;"1.9653-1.9663"" (49.919-49.944 MM)";"1.6897-1.6907"" (42.918-42.944 MM)"
30;Seat Insert Bore Depth;".389-.399"" (9.881-10.135 MM)";".389-.399"" (9.881-10.135 MM)"
31;;;
32;Free Length;"2.795"" (70.993 MM)";"2.795"" (70.993 MM)"
33;Installed Height;TYPE I HEAD;TYPE I HEAD
34;Open Test Pressure;"184-202# @2.000""";"184-202# @2.000"""
35;Close Test Pressure;"44-54# @ 2.593""";"44-54# @ 2.593"""
36;Inner Spring;Intake;Exhaust
37;Free Length;"2.795"" (70.993 MM)";"3.189"" (81.001 MM)"
38;Installed Height;TYPE II HEAD;TYPE II HEAD
39;Open Test Pressure;"184-202# @2.000""";"283-313# @2.323"""
40;Close Test Pressure;"44-54# @ 2.593""";"131-145# @2.787"""
41;;;
42;Shaft Diameter;;
43;Bore Diameter;;
44;Oil Clearance;;
45;Rock Arm Ratio;;
46;;;
47;Intake Valve Lash;".015"" COLD (.381 MM)";
48;Exhaust Valve Lash;".025"" COLD (.635 MM)";
49;Lash Adjustment Method;ADJUSTING SCREW;
50;Precup Torque Spec.;;
51;Cylinder Head Torque;SEE TB 1574;
52;Camshaft Cap Torque;;
53;;;
54;Cylinder Bore Diameter;"4.1338-4.1358"" (104.999-105.049 MM)";
55;Torque Plate;YES;
56;Cylinder Bore Finish;;
57;Deck Height;"12.6670-12.6840"" (321.742-322.174 MM) *";
58;Measured At;C/MAIN-DECK;
59;Surface Finish;;
60;Main to Cam Bore Distance;;
61;Main to Pan Rail Distance;"4.3310"" (110.007 MM)";
62;Bore Center to Center;;
63;Lifter Bore Diameter;;
64;Cylinder Bore Diameter;;
65;Comments;"* MIN DECK HGT 12.657 W/.010 OS HD GSKT #4P2590 ** FRONT CAM BRG OIL HOLE @ 6:30-7 O'CLOCK, OTHERS 12' *** IF USING IPD PISTONS # PK1014495B SKIRT CLEARANCE IS .0027-.0084""";
66;;;
67;Compression Height;;
68;Piston Protrusion;".020-.035"" ABOVE";
69;Skirt Oil Clearance;NOT SUPPLIED BY OEM, *** SEE COMMENTS BOX;
70;Piston to Rod Assembly Orientation;#'s on Rod Beam to Rear of engine;
71;c;"1.5746-1.5750"" (39.995-40.005 MM)";
72;Piston Pin Type;FLOAT;
73;Piston Pin Bore Diameter;".0003-.0013"" CLR (.008-.033 MM)";
74;Piston Ring Gap;"TOP .016"", 2ND .028"", OIL .012""";
75;;;
76;Main Bore Diameter;"3.7397-3.7407"" (94.988-95.014 MM)";
77;Seal Bore Diameter;;
78;Main Cap Torque;"35-45# + 90° USE MOLY LUBE CAP WIDTH 6.2982-6.2998""";
79;Additional Main Cap Bolts;;
80;Camshaft Bore Diameter;"1 2.7549-2.7569"" (69.974-70.025 MM) **";
81;;"2-7 2.7150-2.7180"" (68.961-69.037 MM)";
82;;;
83;;;
84;Auxiliary Shaft Bore Diameter;;
85;;;
86;Balance Shaft Bore Diameter;;
87;;;
88;;;
89;Sleeve Protrusion;;
90;Sleeve Flange Outside Diameter;;
91;Sleeve Fit;;
92;Sleeve Flange Height;;
93;Sleeve Upper Fit Diameter;;
94;Sleeve Bottom Fit Diameter;;
95;Cylinder Block Lower Bore;Specifications;
96;Depth;;
97;Inside Diameter;;
98;Fit;;
99;Cylinder Block Counter/Upper Bore;Specifications;
100;Depth;;
101;Lower Bore Depth Diameter;;
102;Spacer/Deck Plate Thickness;;
103;Outside Diameter;;
104;;;
