;Coluna1;Coluna2;Coluna3
0;;;
1;NEW Thickness/MeasuredAt;"4.8818"" (124.000 MM) REPORTED";
2;Minimum Thickness;"4.8750""";
3;Warp Spec.;".004"" OVERALL (.100 MM)";
4;Chamber Volume (cc);;
5;Surface Finish;;
6;OHC Camshaft Bore Diameter;".9840-.9850"" (25.015-25.040 MM0";
7;Injector Tip Protrusion;;
8;Lifter Bore Diameter;;
9;Comments;** TURN BOLTS BY HAND ONE AT A TIME UNTIL SEATED THEN START TORQUE SEQUENCE FAILURE TO FOLLOW DIRRECTIONS CAN RESULT IN BROKEN CAM CAPS.;
10;;;
11;Installed Stem Height;"1.6300-1.6400""(41.4-41.6 MM) REPORTED";"1.6300-1.6400""(41.4-41.6 MM) REPORTED"
12;Stem Diameter;".2153-.2159"" (5.468-5.483 MM)";".2151-.2157"" (5.463-5.478 MM)"
13;Total Length;;
14;Head Diameter;"1.3720-1.3830"" (34.848-35.128 MM)";"1.1750-1.1870"" (29.845-47.498 MM)"
15;Angle;45°;45°
16;Margin;;
17;Recession;;
18;Valve Guide Information;Intake;Exhaust
19;Guide Height;;
20;Guide Clearance;".0009-.0011"" (.022-.027 MM)";".0011-.0013"" (.027-.033 MM)"
21;Guide OD;;
22;Valve seal Type;;
23;Valve Seat Information;Intake;Exhaust
24;Seat Width;".038-.072"" (.990-1.840 mm)";".038-.072"" (.990-1.840 mm)"
25;Seat Angle;30° / 46° / 70°;N/A / 46° / 65°
26;Seat Outside Diameter;;
27;Seat Inside Diameter;;
28;Seat Insert Height;;
29;Seat Insert Bore Diameter;;
30;Seat Insert Bore Depth;;
31;;;
32;Free Length;"1.768"" (44.920 MM)";"1.768"" (44.920 MM)"
33;Installed Height;"1.492"" (37.900 MM)";"1.492"" (37.900 MM)"
34;Open Test Pressure;98#;94#
35;Close Test Pressure;"39# @ 1.492""";"39# @ 1.492"""
36;Inner Spring;Intake;Exhaust
37;Free Length;;
38;Installed Height;;
39;Open Test Pressure;;
40;Close Test Pressure;;
41;;;
42;Shaft Diameter;;
43;Bore Diameter;;
44;Oil Clearance;;
45;Rock Arm Ratio;;
46;;;
47;Intake Valve Lash;".008-.011"" COLD";
48;Exhaust Valve Lash;".010-.013"" COLD";
49;Lash Adjustment Method;BUCKETS;
50;Precup Torque Spec.;CAM CAPS HAND TIGHT, 62 IN/LBS, 12 FT/LBS **;
51;Cylinder Head Torque;44 IN/LBS, 11, 33 FT/LBS + 90° + 90° USE NEW BOLTS!;
52;Camshaft Cap Torque;;
53;;;
54;Cylinder Bore Diameter;"3.4440-3.4450"" (87.500-87.503 MM) **** OEM SAYS";
55;Torque Plate;;
56;Cylinder Bore Finish;;
57;Deck Height;;
58;Measured At;;
59;Surface Finish;;
60;Main to Cam Bore Distance;;
61;Main to Pan Rail Distance;;
62;Bore Center to Center;;
63;Lifter Bore Diameter;".0007-.0023"" CLR (.020-.060 MM)";
64;Cylinder Bore Diameter;;
65;Comments;"* IF BOLT LENGTH EXCEEDS 4.38"", IT MUST BE REPLACED. ** LOCK CRANKSHAFT AT TDC NOW INSTALL BALANCE SHAFT ASSEMBLY. **** OEM SAYS REPLACE THE BLOCK IF CYLINDER BORES EXCEEDS THE MAXIMUM BLOCK DISTORTION OF .004"" (0.102 MM) WORN OR OUT OF ROUND.";
66;;;
67;Compression Height;;
68;Piston Protrusion;;
69;Skirt Oil Clearance;".0009-.0017"" (.025-.045 MM) AT PIN CENTER LINE";
70;Piston to Rod Assembly Orientation;;
71;c;".8266-.8268"" (20.995-21.000 MM)";
72;Piston Pin Type;;
73;Piston Pin Bore Diameter;;
74;Piston Ring Gap;"TOP .006-.012"", 2ND .012-.018"", OIL .007-.027""";
75;;;
76;Main Bore Diameter;"2.2440-2.2450"" (57.020-57.038 MM)";
77;Seal Bore Diameter;;
78;Main Cap Torque;63 FT/LBS, Tighten Thrust Location Last;
79;Additional Main Cap Bolts;;
80;Camshaft Bore Diameter;;
81;;;
82;;;
83;;;
84;Auxiliary Shaft Bore Diameter;;
85;;;
86;Balance Shaft Bore Diameter;SEE COMMENTS BOX BELOW **;
87;;;
88;;;
89;Sleeve Protrusion;;
90;Sleeve Flange Outside Diameter;;
91;Sleeve Fit;;
92;Sleeve Flange Height;;
93;Sleeve Upper Fit Diameter;;
94;Sleeve Bottom Fit Diameter;;
95;Cylinder Block Lower Bore;Specifications;
96;Depth;;
97;Inside Diameter;;
98;Fit;;
99;Cylinder Block Counter/Upper Bore;Specifications;
100;Depth;;
101;Lower Bore Depth Diameter;;
102;Spacer/Deck Plate Thickness;;
103;Outside Diameter;;
104;;;
105;Stroke;"3.7010"" (94.000 MM) * SEE COMMENTS BOX BELOW";
106;Cylinder Bore;"3.4440-3.4450"" (87.500-87.503 MM)";
107;Comments;* LOCK CRANKSHAFT AT TDC ---- NOW INSTALL BALANCE SHAFT ASSEMBLY USED IN MAZDA 3 AND 6 CARS;
108;;;
109;Rod Journal Diameter;"1.9670-1.9680"" (49.980-50.000 MM)";
110;Journal Width;;
111;Fillet Radius;;
112;Oil Clearance;".0010-.0020"" (.026-.052 MM)";
113;;;
114;Pos.  1;"2.0460-2.0470"" (51.980-52.000 MM)";
115;Pos.  2;;
116;Pos.  3;;
117;Pos.  4;;
118;Pos.  5;;
119;Pos.  6;;
120;Oil Clearance;".0007-.0013"" (.019-.035 MM)";
121;End Play;".008-.016"" (.220-.430 MM)";
122;Fillet Radius;;
123;Thrust Width;;
124;Rear Seal Diameter;;
125;Front Seal Diameter;;
126;Pulley Diameter;;
127;Gear Diameter;;
128;Hardness;;
129;Journal Finish;;
130;Balance;;
131;;;
132;Big End Housing Bore;"2.0870-2.0880"" (53.025-53.045 MM)";
133;Beam Length;;
134;Big End Width;;
135;Big End Side Clearance;".005-.014"" (.140-.360 MM)";
136;Connecting Rod Torque;26 FT/LBS, + 90°;
137;Bolt Diameter;;
138;Small End Bore For Bushing;;
139;Small End Bore Finished ID;".8250-.8260"" (20.965-20.985 MM)";
140;Small End Oil Clearance;;
141;Center To Center Distance;"6.094"" (154.800 MM)";
142;Twist/Bend;;
143;Comments;;
144;;;
145;Camshaft Journal Diameters;".9820-.9830"" (24.960-24.980 MM)";
146;Total Length;;
147;Journal Oil Clearance;".0010-.0030"" (.035-.080 MM)";
148;Cam End Play;".003-.009"" (.090-.240 MM)";
149;Lifter Type;;
150;Lifter Diameter;"1.2192-1.2196"" (30.970-30.980 MM)";
151;Camshaft Gear Bolt Torque;48 FT/LBS, CAMCAPS HAND TIGHT, 62 IN/LBS, 12 FT/LBS **;
152;Comments;;
153;;;
154;Auxiliary Journal Oil Clearance;;
155;Auxiliary Journal Diameters;;
156;Timing Gear Lash;;
157;;;
158;Lobe lift;"LOBE .3240"" (8.250 MM)";"LOBE .3070"" (7.800 MM)"
159;"Duration at 0.050""";;
160;Center Line;;
161;"Valve Event Timing Marks at .050  """;;
162;;;
163;Lobe Separation;;
164;Base Circle New;;
165;Base Circle Min;;
166;;;
167;Intake Manifold;13 FT/LBS;
168;Exhaust Manifold;STUDS 13 FT/LBS, NUTS 40 FT/LBS;
169;Flywheel;37/50/83 FT/LBS;
170;Flywheel Bolt Sealer;;
171;Flywheel Surfacing;NOT SUPPLIED BY OEM;
172;Damper;USE NEW BOLT;
173;Damper Bolt Sealer;;
174;Main Bearing Cap;63 FT/LBS, Tighten Thrust Location Last;
175;Additional Main Cap Bolts;;
176;Connecting Rod;26 FT/LBS, + 90°;
177;Cylinder Head;44 IN/LBS, 11, 33 FT/LBS + 90° + 90° USE NEW BOLTS!;
178;Camshaft Cap Torque;;
179;Camshaft Gear Bolt;48 FT/LBS, CAMCAPS HAND TIGHT, 62 IN/LBS, 12 FT/LBS **;
180;Comments;** TURN BOLTS BY HAND ONE AT A TIME UNTIL SEATED THEN START TORQUE SEQUENCE FAILURE TO FOLLOW DIRRECTIONS CAN RESULT IN BROKEN CAM CAPS.;
181;;;
182;IDLER PULLEY BOLT;18 FT/LBS;
183;BELT TENSIONER BOLT;36 FT/LBS;
184;FRONT COVER BOLTS;89 IN/LBS, 18 FT/LBS, 35 FT/LBS;
185;;;
186;Idle Speed (rpm);;
187;Compression Ratio;;
188;Firing Order;1-3-4-2;
189;Spark Plug Gap;;
190;Ignition Timing;;
191;Oil Pressure At Idle;;
192;Oil Pressure;29-39 PSI @ 2000 RPM;
193;Intake Valve Lash;".008-.011"" COLD";
194;Exhaust Valve Lash;".010-.013"" COLD (.254 MM)";
195;Lash Adjustment Method;;
196;Comments;;
197;;;
198;Minimum Thickness;;
199;Chamber Volume (cc);;
200;Surface Finish;;
201;OHC Camshaft Bore Diameter;;
202;Injector Tip Protrusion;;
203;Lifter Bore Diameter;;
204;;;
205;This engine bends valves if the valve timing is interupted.;;
206;;;
207;;;
208;Upload PDF  File Type : pdf.  Caption* Procedures : 0;Upload PDF  File Type : pdf.  Caption* Procedures : 0;
209;Upload PDF  File Type : pdf.  Caption*;Procedures : 0;
210;;;
211;Upload PDF  File Type : pdf.  Caption*;Procedures : 0;
